ASHLAND PARK/ROBBINS ELEM,5050 S 51 ST,SUPERIOR,11/14/2018,HIGH
Hampton Inn & Suites,1212 CUMING ST,SUPERIOR,12/20/2018,MEDIUM
Mary Our Queen School,3405 S 119th,SUPERIOR,11/14/2018,HIGH
METHODIST WOMENS HOSPITAL,707 N 190 PLZ,SUPERIOR,1/3/2019,HIGH
RALSTON HIGH SCHOOL,8545 PARK DR,SUPERIOR,11/27/2018,HIGH
St Pius X School,6905 Blondo,SUPERIOR,12/3/2018,HIGH
WEST DODGE STATION ELEM,18480 CALIFORNIA ST,SUPERIOR,11/27/2018,HIGH
1000 Degrees Neopolitan Pizzeria,1405 S 204th St #104,EXCELLENT,1/18/2019,MEDIUM
Abraham Catering Service,5520 MILLER AVE - RALSTON,EXCELLENT,1/18/2019,HIGH
AJ'S CAFÉ ,5146 N 90 ST,EXCELLENT,1/23/2019,HIGH
ALEGENT HEALTH LAKESIDE HOSP,16901 LAKESIDE HILLS,EXCELLENT,11/14/2018,HIGH
AMAZING PIZZA MACHINE (THE),13955 S S PLZ,EXCELLENT,12/27/2018,MEDIUM
AMC THEATERS WESTROADS 14,10000 CALIFORNIA,EXCELLENT,12/7/2018,MEDIUM
Ami's Kitchen,8501 N 30th St,EXCELLENT,12/13/2018,HIGH
ARBORETUM ON FARNAM (THE),8141 FARNAM DR,EXCELLENT,1/7/2019,HIGH
Arby's,5323 CENTER ST,EXCELLENT,1/9/2019,MEDIUM
B P O ELKS LDOGE #0039,6310 S 96TH ST,EXCELLENT,1/25/2019,HIGH
BABY BLUE SUSHI SAKE GRILL,16939 Wright Pl #103,EXCELLENT,12/13/2018,HIGH
BARRETT'S BARLEYCORN,4322 LEAVENWORTH ST,EXCELLENT,11/15/2018,HIGH
BILLY FROGG'S,1120 Howard ST,EXCELLENT,1/9/2019,HIGH
BIRRICRIA EL CHALAN,4518 S 24th ST,EXCELLENT,12/26/2018,HIGH
BLONDO CONVENIENT FOOD MART,6606 BLONDO ST,EXCELLENT,12/4/2018,LOW
BLUE CROSS BLUE SHIELD,1919 AKSARBEN RD,EXCELLENT,1/10/2019,HIGH
Boyd and Charlies BBQ #2,1418 S 60th St,EXCELLENT,12/10/2018,HIGH
BOYS TOWN VISITORS CTR CAFE,13628 FLANAGAN,EXCELLENT,11/13/2018,HIGH
BRICK STREET TAVERN,4936 S 135 ST,EXCELLENT,12/3/2018,HIGH
BRONCO'S DRIVE IN #0005,1123 S 120 ST,EXCELLENT,12/20/2018,HIGH
Buffalo Wings & Rings,12240 L ST,EXCELLENT,11/13/2018,HIGH
Burger King #1010,4900 L ST,EXCELLENT,12/20/2018,MEDIUM
Burger King #14221,3001 S 144 ST,EXCELLENT,1/4/2019,MEDIUM
Burger King #16068,330 N 168th CIR,EXCELLENT,1/2/2019,MEDIUM
Burger King #3542,5222 S 138th ST,EXCELLENT,1/9/2019,MEDIUM
Burger King #5628,2319 S 13th ST,EXCELLENT,1/24/2019,MEDIUM
Burger King #906,4313 S 24 ST,EXCELLENT,12/31/2018,MEDIUM
CAKE BOX (THE),501 S 11 ST,EXCELLENT,1/2/2019,MEDIUM
CANDLELIGHT LOUNGE (THE),5031 GROVER ST,EXCELLENT,12/26/2018,HIGH
Chaikhana,2329 N 90 St,EXCELLENT,12/21/2018,HIGH
Chance Ridge Event Center,508 N Skyline Rd,EXCELLENT,1/9/2019,MEDIUM
Charley's Grilled Subs,3001 S 144th St #608,EXCELLENT,1/18/2019,MEDIUM
CHEF HATTAM CATERING,1228 S 6th ST,EXCELLENT,11/28/2018,HIGH
Chick-fil-a @ Sorensen Park Plaza,6310 N 72nd ST,EXCELLENT,12/7/2018,MEDIUM
CHILI'S SW GRILL & BAR,3202 S 143 PLZ,EXCELLENT,11/16/2018,HIGH
Chocolat Abeille,421 S 114th St,EXCELLENT,1/8/2019,MEDIUM
CHUBB FOODS,2905 N 16 ST,EXCELLENT,11/27/2018,HIGH
CLARKSON COLLEGE BOOKSTORE,101 S 42 ST,EXCELLENT,12/17/2018,LOW
Comfort Inn,10726 J St,EXCELLENT,1/9/2019,LOW
Comfort Inn & Suites,7007 GROVER ST,EXCELLENT,12/10/2018,HIGH
CRANE COFFEE,3027 S 84 ST,EXCELLENT,11/27/2018,MEDIUM
CROWN POINTE,2820 S 80 ST,EXCELLENT,11/16/2018,HIGH
CVS/Pharmacy #6733,1919 N 90 ST,EXCELLENT,1/2/2019,LOW
D.Q. Grill & Chill,5302 S 72ND ST - RALSTON,EXCELLENT,11/19/2018,MEDIUM
DAIRY CHEF,3223 N 204 ST,EXCELLENT,11/26/2018,HIGH
DANNYS BAR & GRILL,2007 N 72 ST,EXCELLENT,11/29/2018,HIGH
DAVE & BUSTER'S,2502 S 133 PLZ,EXCELLENT,11/20/2018,HIGH
DJ 'S DUGOUT,2102 S 67th ST,EXCELLENT,12/12/2018,HIGH
Dominos,3818 N 156th ST,EXCELLENT,11/26/2018,MEDIUM
Dominos Pizza,3439 L ST,EXCELLENT,12/19/2018,MEDIUM
Domino's Pizza,2728 St. Marys Ave,EXCELLENT,1/7/2019,MEDIUM
DON & MILLIE'S,8405 Q ST,EXCELLENT,1/25/2019,HIGH
Doubletree Hotel & Executive Meeting Ctr,1616 DODGE ST,EXCELLENT,1/14/2019,HIGH
Dragon Wok, 14220 Fort St  Ste 105 ,EXCELLENT,1/11/2019,HIGH
DUNDEE CORK & BOTTLE,614 N 50 ST,EXCELLENT,1/24/2019,LOW
DUNDEE'S PLACE,7024 MAPLE ST,EXCELLENT,1/7/2019,HIGH
DUNKIN DONUTS,14271 PACIFIC ST,EXCELLENT,12/19/2018,MEDIUM
EAT THE WORM,1213 HOWARD ST,EXCELLENT,12/27/2018,HIGH
EVEN HOTELS OMAHA DOWNTOWN,2220 Farnam ST,EXCELLENT,12/4/2018,MEDIUM
FAIRFIELD INN & SUITES WEST OMAHA,17240 WRIGHT ST,EXCELLENT,1/4/2019,MEDIUM
Fajitas Bar & Grill,6222 N 72nd St,EXCELLENT,1/2/2019,HIGH
FAMILY FARE,5025 GROVER ST,EXCELLENT,12/28/2018,HIGH
FEDERAL RESERVE BANK,2201 FARNAM,EXCELLENT,1/4/2019,HIGH
Film Streams Dundee Theatre,4952 Dodge St,EXCELLENT,1/17/2019,MEDIUM
FIREHOUSE SUBS,721 S 72 ST STES 106-107,EXCELLENT,1/7/2019,MEDIUM
First Watch,2855 S 168 ST,EXCELLENT,12/3/2018,HIGH
FN TOWER GRAB & GO,1601 Dodge ST,EXCELLENT,1/23/2019,MEDIUM
Fraternal Order Eagles #38,201 S 24 ST,EXCELLENT,11/13/2018,HIGH
Freddy's Frozen Custard & Steakburgers,5210 S 136 ST,EXCELLENT,1/25/2019,HIGH
Fresh Thyme Farmers Market,14949 Evans PLZ,EXCELLENT,1/4/2019,HIGH
FRIENDSHIP PROGRAM INC,7315 MAPLE ST,EXCELLENT,12/4/2018,MEDIUM
GIRLS INC OF OMAHA,2811 N 45 ST,EXCELLENT,12/10/2018,MEDIUM
GORAT'S STEAK HOUSE,4917 CENTER ST,EXCELLENT,12/17/2018,HIGH
GRANT STREET BAR & GRILL,8919 Grant ST,EXCELLENT,1/14/2019,HIGH
Great Harvest Bread Company,15623 W Dodge RD,EXCELLENT,1/15/2019,MEDIUM
GREEN BEANS COFFEE,6831 S 167 ST,EXCELLENT,1/9/2019,MEDIUM
GROVER ICE,6171 GROVER ST,EXCELLENT,12/10/2018,MEDIUM
Heartland Intergenerational Center,4318 Fort ST,EXCELLENT,1/11/2019,MEDIUM
High Peak Asian Restaurant,333 N 78th St,EXCELLENT,11/26/2018,HIGH
Hissho Sushi,505 N 155th Plaza,EXCELLENT,12/5/2018,MEDIUM
Holiday Inn Express,11818 Miami St,EXCELLENT,12/20/2018,MEDIUM
Holiday Inn Express & Suites Ralston,7306 Q ST,EXCELLENT,12/27/2018,MEDIUM
HOME FOODS,7515 PACIFIC ST,EXCELLENT,11/19/2018,MEDIUM
HUB FIREBOX CATERING,15791 W DODGE RD STE 130-131,EXCELLENT,1/15/2019,MEDIUM
